 ECw	irr	total irr amount	
==================================================================================================
0.000000	0.000000	0.000000	
0.000000	0.000000	0.000000	
0.000000	0.000000	0.000000	
0.000000	0.000000	0.000000	
0.000000	0.000000	0.000000	
0.000000	0.000000	0.000000	
0.000000	0.000000	0.000000	
0.000000	0.000000	0.000000	
0.000000	0.000000	0.000000	
0.000000	0.000000	0.000000	
0.000000	0.000000	0.000000	
0.000000	0.000000	0.000000	
0.000000	0.000000	0.000000	
0.000000	0.000000	0.000000	
0.000000	0.000000	0.000000	
0.000000	0.000000	0.000000	
0.000000	0.000000	0.000000	
0.000000	0.000000	0.000000	
0.000000	0.000000	0.000000	
0.000000	0.000000	0.000000	
0.000000	0.000000	0.000000	
0.000000	0.000000	0.000000	
0.000000	0.000000	0.000000	
0.000000	0.000000	0.000000	
0.000000	0.000000	0.000000	
0.000000	0.000000	0.000000	
0.000000	0.000000	0.000000	
0.000000	0.000000	0.000000	
0.000000	0.000000	0.000000	
0.000000	0.000000	0.000000	
0.000000	0.000000	0.000000	
0.000000	0.000000	0.000000	
0.000000	0.000000	0.000000	
0.000000	0.000000	0.000000	
0.000000	0.000000	0.000000	
0.000000	0.000000	0.000000	
0.000000	0.000000	0.000000	
0.000000	0.000000	0.000000	
0.000000	0.000000	0.000000	
0.000000	0.000000	0.000000	
0.000000	0.000000	0.000000	
0.000000	0.000000	0.000000	
0.000000	0.000000	0.000000	
0.000000	0.000000	0.000000	
0.000000	0.000000	0.000000	
0.000000	0.000000	0.000000	
0.000000	0.000000	0.000000	
0.000000	91.000000	91.000000	
0.000000	0.000000	91.000000	
0.000000	0.000000	91.000000	
0.000000	0.000000	91.000000	
0.000000	0.000000	91.000000	
0.000000	0.000000	91.000000	
0.000000	0.000000	91.000000	
0.000000	0.000000	91.000000	
0.000000	0.000000	91.000000	
0.000000	0.000000	91.000000	
0.000000	0.000000	91.000000	
0.000000	0.000000	91.000000	
0.000000	0.000000	91.000000	
0.000000	0.000000	91.000000	
0.000000	0.000000	91.000000	
0.000000	0.000000	91.000000	
0.000000	0.000000	91.000000	
0.000000	0.000000	91.000000	
0.000000	0.000000	91.000000	
0.000000	0.000000	91.000000	
0.000000	0.000000	91.000000	
0.000000	91.000000	182.000000	
0.000000	0.000000	182.000000	
0.000000	0.000000	182.000000	
0.000000	0.000000	182.000000	
0.000000	0.000000	182.000000	
0.000000	0.000000	182.000000	
0.000000	0.000000	182.000000	
0.000000	0.000000	182.000000	
0.000000	0.000000	182.000000	
0.000000	0.000000	182.000000	
0.000000	0.000000	182.000000	
0.000000	0.000000	182.000000	
0.000000	0.000000	182.000000	
0.000000	0.000000	182.000000	
0.000000	0.000000	182.000000	
0.000000	0.000000	182.000000	
0.000000	0.000000	182.000000	
0.000000	0.000000	182.000000	
0.000000	0.000000	182.000000	
0.000000	0.000000	182.000000	
0.000000	91.000000	273.000000	
0.000000	0.000000	273.000000	
0.000000	0.000000	273.000000	
0.000000	0.000000	273.000000	
0.000000	0.000000	273.000000	
0.000000	0.000000	273.000000	
0.000000	0.000000	273.000000	
0.000000	0.000000	273.000000	
0.000000	0.000000	273.000000	
0.000000	0.000000	273.000000	
0.000000	0.000000	273.000000	
0.000000	0.000000	273.000000	
0.000000	0.000000	273.000000	
0.000000	0.000000	273.000000	
0.000000	0.000000	273.000000	
0.000000	68.000000	341.000000	
0.000000	0.000000	341.000000	
0.000000	0.000000	341.000000	
0.000000	0.000000	341.000000	
0.000000	0.000000	341.000000	
0.000000	0.000000	341.000000	
0.000000	0.000000	341.000000	
0.000000	0.000000	341.000000	
0.000000	0.000000	341.000000	
0.000000	0.000000	341.000000	
0.000000	0.000000	341.000000	
0.000000	0.000000	341.000000	
0.000000	0.000000	341.000000	
0.000000	0.000000	341.000000	
0.000000	0.000000	341.000000	
0.000000	0.000000	341.000000	
